Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga;eleicao
13226;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;EUSÉBIO;JOSE ARIMATEA LIMA BARROS JUNIOR;25;Médico;PRD;Eleito;44781;36256;2026-02-28 19:30:47;2024
13757;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;CEDRO;SAMUEL ENEIAS PINHEIRO VIANA;13;Médico;PT;Não Eleito;16670;7815;2026-02-28 19:30:47;2024
15156;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;PENTECOSTE;ILANNA MOURA AZEVEDO CIRILO;13;Psicólogo;PT;Não Eleito;26942;10546;2026-02-28 19:30:47;2024
15350;Branca;Casado(a);35 a 39 anos;Masculino;Superior incompleto;RERIUTABA;OSVALDO HONORIO LEMOS NETO;13;Empresário;PT;Não Eleito;13482;5005;2026-02-28 19:30:47;2024
13510;Parda;Casado(a);60 a 64 anos;Feminino;Superior completo;CAMOCIM;EUVALDETE FERRO DA ROCHA OLIVEIRA;13;Pedagogo;PT;Não Eleito;40552;18320;2026-02-28 19:30:47;2024
13870;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;FARIAS BRITO;JOSÉ VANDEVELDER FREITAS FRANCELINO;13;Médico;PT;Não Eleito;15497;7011;2026-02-28 19:30:47;2024
14990;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;PACUJÁ;JOAO PAULO DE ARAUJO MARQUES;23;Agricultor;CIDADANIA;Não Eleito;5461;1560;2026-02-28 19:30:47;2024
14117;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;IGUATU;JOSÉ DE SÁ VILAROUCA;40;Empresário;PSB;Não Eleito;58796;2031;2026-02-28 19:30:47;2024
14753;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;MORADA NOVA;SÉRGIO RICARDO MAIA ISAIAS;50;Servidor Público Civil Aposentado;PSOL;Não Eleito;48016;127;2026-02-28 19:30:47;2024
13366;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;TARRAFAS;ERONILDES FRANCISCO DOS SANTOS;40;Comerciante;PSB;Eleito;6268;3578;2026-02-28 19:30:47;2024
15156;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;PENTECOSTE;VICENTE DE PAULO SOUSA E SILVA;40;Outros;PSB;Eleito;26942;16283;2026-02-28 19:30:47;2024
13730;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CAUCAIA;NAUMI GOMES DE AMORIM;55;Empresário;PSD;Segundo turno;193000;74146;2026-02-28 19:30:47;2024
15555;Parda;Casado(a);50 a 54 anos;Feminino;Superior completo;SENADOR POMPEU;MARCIA LIMA DE OLIVEIRA FREIRE;40;Advogado;PSB;Eleito;17003;9220;2026-02-28 19:30:47;2024
13510;Branca;Divorciado(a);50 a 54 anos;Feminino;Superior completo;CAMOCIM;MARIA ELIZABETE MAGALHÃES;40;Prefeito;PSB;Eleito;40552;22021;2026-02-28 19:30:47;2024
14010;Branca;Solteiro(a);50 a 54 anos;Masculino;Superior completo;GUARACIABA DO NORTE;JOSE ELISIARIO DE MELO NOBRE JUNIOR;15;Servidor Público Estadual;MDB;Não Eleito;26801;10817;2026-02-28 19:30:47;2024
14257;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;ITAIÇABA;ANTONIEL MAX SILVA HOLANDA;13;Vereador;PT;Eleito;4018;2550;2026-02-28 19:30:47;2024
15792;Parda;Solteiro(a);30 a 34 anos;Masculino;Ensino Médio completo;URUOCA;JAN KENNEDY PAIVA AQUINO;13;Prefeito;PT;Eleito;9329;7932;2026-02-28 19:30:47;2024
13390;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;BARRO;HERICLES GEORGE FEITOSA ALBUQUERQUE;15;Médico;MDB;Eleito;12835;8259;2026-02-28 19:30:47;2024
14010;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;GUARACIABA DO NORTE;JOSÉ CEFAS PONTES MELO;55;Cientista Político;PSD;Eleito;26801;15984;2026-02-28 19:30:47;2024
13196;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;AQUIRAZ;PAULO SERGIO BARBOSA DA CUNHA;30;Servidor Público Estadual;NOVO;Não Eleito;56085;1931;2026-02-28 19:30:47;2024
13137;Preta;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;ALTO SANTO;DAMIÃO AMÂNCIO DA SILVA;50;Técnico em Edificações;PSOL;Não Eleito;10476;530;2026-02-28 19:30:47;2024
