Ano de eleição;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;Zona;Votos válidos;Votos nominais;Data de carga
2024;13897;Parda;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;LUIS EDUARDO GRANGEIRO GIRÃO;30;Senador;NOVO;NORDESTE;Não Eleito;1;113;84049;1096;2026-02-28 19:30:47
2024;13536;Branca;Casado(a);70 a 74 anos;Masculino;Ensino Médio completo;CAMPOS SALES;MOESIO LOIOLA DE MELO;40;Locutor e Comentarista de Rádio e Televisão e Radialista;PSB;NORDESTE;Eleito;1;38;16463;8572;2026-02-28 19:30:47
2024;15695;Branca;Divorciado(a);40 a 44 anos;Masculino;Superior completo;TIANGUÁ;ALEX ANDERSON NUNES DA COSTA;40;Prefeito;PSB;NORDESTE;Eleito;1;81;46812;31126;2026-02-28 19:30:47
2024;14478;Parda;Casado(a);65 a 69 anos;Masculino;Superior completo;JUAZEIRO DO NORTE;LINO ALVES DE ALMEIDA;29;Aposentado (Exceto Servidor Público);PCO;NORDESTE;Não Eleito;1;28;65259;0;2026-02-28 19:30:47
2024;13234;Branca;Solteiro(a);25 a 29 anos;Feminino;Superior completo;ARACOIABA;MARIA KAROLINE ALVES PINHEIRO;44;Farmacêutico;UNIÃO;NORDESTE;Não Eleito;1;67;21596;2670;2026-02-28 19:30:47
2024;14095;Parda;Casado(a);50 a 54 anos;Feminino;Superior incompleto;ICÓ;MARIA CRISTIANA VIANA;10;Dona de Casa;REPUBLICANOS;NORDESTE;Não Eleito;1;15;38312;853;2026-02-28 19:30:47
2024;13617;Parda;Divorciado(a);60 a 64 anos;Masculino;Ensino Médio completo;CARIRÉ;ANTONIO RUFINO MARTINS;12;Empresário;PDT;NORDESTE;Eleito;1;65;12722;9502;2026-02-28 19:30:47
2024;15652;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;TAMBORIL;LUIZ MARCELO MOTA LEITE;40;Prefeito;PSB;NORDESTE;Eleito;1;61;17308;10303;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Segundo turno;1;85;74907;31121;2026-02-28 19:30:47
2024;15954;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;ITAREMA;FELIPE MONTEIRO ANDRADE ARAÚJO;10;Advogado;REPUBLICANOS;NORDESTE;Não Eleito;1;98;28216;372;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;GEORGE LIMA DE ARAÚJO;77;Empresário;SOLIDARIEDADE;NORDESTE;Não Eleito;1;118;82603;426;2026-02-28 19:30:47
2024;14257;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;ITAIÇABA;ANTONIEL MAX SILVA HOLANDA;13;Vereador;PT;NORDESTE;Eleito;1;75;4018;2550;2026-02-28 19:30:47
