Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
13340;Branca;Casado(a);25 a 29 anos;Masculino;Superior incompleto;IPAPORANGA;JOSE JONNAS DE SOUSA;65;Estudante, Bolsista, Estagiário e Assemelhados;PC do B;NORDESTE;Não Eleito;6970;104;2026-01-19 14:01:28
14591;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior incompleto;MARTINÓPOLE;JOABE MARTINS VIANA;65;Vendedor de Comércio Varejista e Atacadista;PC do B;NORDESTE;Não Eleito;8311;21;2026-01-19 14:01:28
13838;Parda;Divorciado(a);60 a 64 anos;Masculino;Lê e escreve;CRATEÚS;EDOARDO RODRIGUES MACHADO;28;Empresário;PRTB;NORDESTE;Não Eleito;41621;158;2026-01-19 14:01:28
14230;Branca;Divorciado(a);40 a 44 anos;Feminino;Superior completo;IRAUÇUBA;GERALDINA LOPES BRAGA;55;Servidor Público Municipal;PSD;NORDESTE;Eleito;13460;7894;2026-01-19 14:01:28
13340;Parda;Casado(a);65 a 69 anos;Masculino;Superior completo;IPAPORANGA;FRANCISCO NILSON MOREIRA;15;Engenheiro;PMDB;NORDESTE;Não Eleito;6970;2560;2026-01-19 14:01:28
14931;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;PACAJUS;JOSEILTON ABEL SILVA;15;Comerciante;PMDB;NORDESTE;Não Eleito;39829;12552;2026-01-19 14:01:28
15695;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;TIANGUÁ;JOSE CARDOSO TERCEIRO;51;Vendedor de Comércio Varejista e Atacadista;PEN;NORDESTE;Não Eleito;41714;397;2026-01-19 14:01:28
13137;Branca;Casado(a);70 a 74 anos;Masculino;Ensino Médio completo;ALTO SANTO;ADELMO QUEIROZ DE AQUINO;77;Empresário;SD;NORDESTE;Não Eleito;9974;4964;2026-01-19 14:01:28
14656;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;MERUOCA;GEORGE LUIZ BERNARDO MARTINS;22;Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;PR;NORDESTE;Não Eleito;9005;290;2026-01-19 14:01:28
13897;Branca;Solteiro(a);45 a 49 anos;Feminino;Superior completo;FORTALEZA;LUIZIANNE DE OLIVEIRA LINS;13;Professor de Ensino Superior;PT;NORDESTE;Não Eleito;1286510;193687;2026-01-19 14:01:28
14834;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;MULUNGU;ROBERT VIANA LEITAO;33;Empresário;PMN;NORDESTE;Eleito;6795;3706;2026-01-19 14:01:28
13250;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;ARARIPE;NAIALA DE SOUZA RIBEIRO SALES;12;Médico;PDT;NORDESTE;Não Eleito;13249;5578;2026-01-19 14:01:28
15997;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;PARAIPABA;ROSIANE MARIA GARCIA PESSOA SOUSA;23;Assistente Social;PPS;NORDESTE;Não Eleito;20064;2493;2026-01-19 14:01:28
14656;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;MERUOCA;FRANCISCO ANTONIO FONTELES;11;Empresário;PP;NORDESTE;Eleito;9005;4047;2026-01-19 14:01:28
15490;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;SÃO GONÇALO DO AMARANTE;MARIA BETHROSE FONTENELE ARAÚJO;35;Deputado;PMB;NORDESTE;Não Eleito;34092;12778;2026-01-19 14:01:28
15474;Parda;Solteiro(a);21 a 24 anos;Masculino;Ensino Médio completo;SÃO BENEDITO;FRANCISCO JOSE BEZERRA GOMES JUNIOR;90;Empresário;PROS;NORDESTE;Não Eleito;26658;12433;2026-01-19 14:01:28
15512;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;SÃO JOÃO DO JAGUARIBE;ANTONIO CARLOS PESSOA CHAVES;13;Médico;PT;NORDESTE;Não Eleito;6146;2793;2026-01-19 14:01:28
15814;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;VÁRZEA ALEGRE;HOMERO FIUZA DE SOUSA;77;Advogado;SD;NORDESTE;Não Eleito;23460;9940;2026-01-19 14:01:28
13293;Parda;Solteiro(a);30 a 34 anos;Masculino;Ensino Médio completo;ARNEIROZ;ANTONIO NUNES DE SOUSA FILHO;55;Outros;PSD;NORDESTE;Não Eleito;5655;2595;2026-01-19 14:01:28
13005;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;JIJOCA DE JERICOACOARA;FRANCISCO LINDOMAR FILOMENO OLIVEIRA;12;Prefeito;PDT;NORDESTE;Não Eleito;11227;3206;2026-01-19 14:01:28
13870;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;FARIAS BRITO;JOSE LIBERALINO DE MENEZES NETO;51;Enfermeiro;PEN;NORDESTE;Não Eleito;12151;4512;2026-01-19 14:01:28
15059;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;PARACURU;FRANCISCO SIDNEY ANDRADE GOMES;65;Comerciante;PC do B;NORDESTE;Não Eleito;24158;7582;2026-01-19 14:01:28
14311;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;ITAPIÚNA;FRANCISCO DÁRIO DE OLIVEIRA COELHO;15;Industrial;PMDB;NORDESTE;Eleito;12789;6240;2026-01-19 14:01:28
14931;Parda;Separado(a) judicialmente;50 a 54 anos;Masculino;Superior completo;PACAJUS;FRANCISCO JOSE GOMES;50;Advogado;PSOL;NORDESTE;Não Eleito;39829;952;2026-01-19 14:01:28
